lambda [nm],Common path,Visible infrared dichroic BS,Infrared channel cemented doublet (T face irl1),Infrared channel cemented doublet (T face irl2),Infrared ADC (T - prism 1),Infrared ADC (T - prism 2),Infrared ADC (T - prism 3),Infrared ADC (T - prism 4),Infrared channel lens,Infrared DTTS BS,Common IR before DTTS,Total before DTTS,TotalCPIVis,TotalCPIWFS,detectorQE,TotalVisWFS
400,0.384031639,,,,,,,,,,0,0,0,1,0.55,0
450,0.570035532,,,,,,,,,,0,0,0.77728909,1,0.65,0.28800356
500,0.607498647,,,,,,,,,,0,0,0.910020126,0.932734667,0.76,0.391893466
550,0.595509266,,,,,,,,,,0,0,0.935967592,0.957348624,0.85,0.453563793
600,0.599226037,,,,,,,,,,0,0,0.923762523,0.95453391,0.91,0.480821378
650,0.628162352,,,,,,,,,,0,0,0.920980709,0.969978035,0.95,0.533099092
700,0.65135155,,,,,,,,,,0,0,0.913992538,0.977435224,0.96,0.558621079
750,0.671411062,0,,,,,,,0.65213195,,0,0,0.965219704,0.97733095,0.96,0.608033568
800,0.676728415,0.002422478,,,,,,,0.729671605,,0.002422478,0.00163936,0.978676826,0.975336593,0.92,0.594286772
850,0.699691961,0.003126939,,,0.85,0.83,0.83,0.85,0.8396159,,0.001556372,0.001088981,0.975854035,0.967708394,0.83,0.548421342
900,0.755960747,0.039143389,0.99895185,0.99714922,0.96,0.93,0.91,0.96,0.92403281,,0.030410947,0.022989482,0.924150342,0.933836718,0.67,0.437106861
950,0.780140874,0.840370857,0.99840575,0.99621469,0.98587,0.987,0.987,0.98587,0.9707552,0.989605555,0.791415599,0.617415657,0.26406054,1,0.43,0.088581901
1000,0.790417199,0.960838266,0.99749699,0.99722863,0.992,0.9915,0.9915,0.992,0.99118431,0.99076567,0.924624516,0.73083912,0.02010535,1,0.2,0.003178323
1100,0.800570157,0.956774013,0.99215663,0.9938723,0.992,0.994,0.994,0.992,0.9931258,0.99126386,0.917310384,0.734371318,0,1,0,0
1200,0.80845214,0.929431429,0.99034768,0.98979022,0.992,0.994,0.994,0.992,0.98543358,0.989455155,0.885817619,0.71614115,0,1,0,0
1300,0.805205994,0.950693674,0.99153036,0.9897578,0.99,0.991,0.991,0.99,0.98734358,0.985625075,0.898034976,0.723103145,0,1,0,0
1400,0.800923703,0.974592047,0.99158501,0.99078984,0.9837,0.985,0.985,0.9837,0.989642835,0.975787125,0.898943019,0.719984771,0,1,0,0
1500,0.796823678,0.956441487,0.99046212,0.99109874,0.9825,0.984,0.984,0.9825,0.985069985,0.95884569,0.877543221,0.699247217,0,1,0,0
1600,0.791746531,0.975664778,0.99046329,0.99157854,0.9855,0.985,0.985,0.9855,0.9768067,0.9447278,0.902925354,0.714888017,0,1,0,0
1700,0.790597649,0.968175725,0.99209665,0.99271705,0.9865,0.984,0.984,0.9865,0.970988585,0.95869458,0.898499893,0.710351903,0,1,0,0
1800,0.792274952,0.977843459,0.99391716,0.99398932,0.9845,0.981,0.981,0.9845,0.969378315,0.97048459,0.901095244,0.713915191,0,1,0,0
1900,0.789945869,0.969253849,0.9957211,0.99533297,0.982,0.979,0.979,0.982,0.97364389,0.977392795,0.887834453,0.701341158,0,1,0,0
2000,0.794933319,0.976501472,0.99501936,0.99444522,0.983,0.9805,0.9805,0.983,0.98029473,0.980501945,0.897609684,0.713539845,0,1,0,0
2100,0.803844997,0.976936491,0.99265889,0.99220673,0.986,0.9835,0.9835,0.986,0.98623866,0.982883625,0.90483855,0.727349942,0,1,0,0
2200,0.80973418,0.943705893,0.98846455,0.98928401,0.9885,0.985,0.985,0.9885,0.99174234,0.981367985,0.874872093,0.708413837,0,1,0,0
2300,0.810024706,0.964955766,0.98151681,0.98293542,0.9855,0.983,0.983,0.9855,0.98869923,0.983442995,0.873676039,0.707699177,0,1,0,0
2400,0.97469267,0.937132146,0.97341944,0.97582866,0.978,0.98,0.98,0.978,0.982849115,,0.817719361,0.797025067,0,1,0,0
2500,0.97627141,1,,,0.96,0.966,0.966,0.96,0.97005865,,0.85999657,0.839590064,0,1,0,0
