lambda [nm],A0,G0,M0,M5,Tsky,Mirror
500,0.72193,0.556265,0.409828,0.374307,0.854952543,0.918934
505,0.708234,0.55698,0.422488,0.388232,0.856647767,0.918621
510,0.694039,0.55758,0.435352,0.4024,0.861126347,0.918307
515,0.679513,0.558102,0.448351,0.416729,0.86449443,0.917993
520,0.664489,0.55851,0.461555,0.4313,0.86699171,0.917679
525,0.649133,0.55884,0.474894,0.446033,0.86791984,0.917364
530,0.633279,0.559055,0.488437,0.461009,0.868087373,0.91705
535,0.617092,0.559193,0.502117,0.476146,0.870318192,0.916735
540,0.600408,0.559216,0.515999,0.491526,0.873106962,0.91642
545,0.581754,0.559286,0.530132,0.502651,0.874499641,0.916105
550,0.565878,0.558992,0.544241,0.52285,0.876342093,0.915789
555,0.557254,0.558044,0.557958,0.563658,0.877648932,0.915394
560,0.551524,0.556723,0.571643,0.613855,0.877417829,0.914999
565,0.54404,0.555432,0.585562,0.660376,0.876258802,0.914604
570,0.536291,0.554009,0.59967,0.70777,0.874122408,0.914208
575,0.528366,0.552497,0.613902,0.755747,0.872927374,0.913812
580,0.520177,0.550852,0.628322,0.804596,0.877727891,0.913416
585,0.511812,0.549118,0.642866,0.854028,0.88495683,0.913019
590,0.503183,0.54725,0.657599,0.904333,0.885627437,0.912622
595,0.494378,0.545294,0.672457,0.955221,0.886342824,0.912224
600,0.485309,0.543205,0.687502,1.00698,0.887412078,0.911826
605,0.476064,0.541026,0.702672,1.05932,0.889826967,0.911229
610,0.466555,0.538715,0.718029,1.11254,0.893831673,0.910631
615,0.45687,0.536315,0.733512,1.16634,0.897784068,0.910031
620,0.44692,0.533782,0.749182,1.22101,0.900533524,0.909432
625,0.436795,0.531159,0.764978,1.27626,0.901809103,0.908831
630,0.426406,0.528404,0.780961,1.33239,0.894124198,0.90823
635,0.415841,0.52556,0.797068,1.3891,0.908365779,0.907627
640,0.405012,0.522582,0.813364,1.44668,0.914268222,0.907025
645,0.392701,0.518903,0.830361,1.49178,0.917950995,0.90642
650,0.382737,0.516317,0.846393,1.56388,0.919503042,0.905816
655,0.378652,0.516485,0.859874,1.69709,0.923221658,0.905048
660,0.376993,0.517785,0.872353,1.85809,0.926740626,0.90428
665,0.373998,0.51845,0.885471,2.00806,0.929637525,0.90351
670,0.370897,0.519057,0.898706,2.16048,0.932281697,0.90274
675,0.367725,0.519624,0.91202,2.31454,0.934710809,0.901966
