simbad_MAIN_ID,simbad_RA_ICRS,simbad_DEC_ICRS,simbad_ID_HD,simbad_SP_TYPE,simbad_OTYPE,simbad_OTYPE_V,simbad_OTYPE_3,simbad_RA_current,simbad_DEC_current,DEC,RA,simbad_separation_RADEC_ICRSJ2000,simbad_separation_RADEC_current,simbad_FLUX_V,simbad_PMRA,simbad_PMDEC,simbad_FLUX_R,simbad_FLUX_G,simbad_FLUX_J,simbad_FLUX_H,simbad_FLUX_K,simbad_FLUX_I,visible_from_Paranal
HD  28354,04 29 19.8323,+27 24 15.190,HD 28354,B9Vn,**,Double or multiple star,**,04 29 19.8344,+27 24 15.175,27 24 15.1905,4 29 19.8323,0.0006621646374908051,0.03163169476138985,6.547999858856201,11.17,-28.48,6.607999858856201,6.517600059509277,6.489999771118164,6.508999824523926,6.515999794006348,,True
HD  28867A,04 33 33.0532,+18 01 00.200,HD 28867A,,Star,Star,*,04 33 33.0551,+18 01 00.184,18 01 00.2001,4 33 33.0533,0.001108773404171618,0.030558535305686068,6.960000038146973,8.012,-19.606,,6.867700099945068,,,,,True
HD  28867B,04 33 32.8348,+18 01 00.560,HD 28867B,,Star,Star,*,04 33 32.8367,+18 01 00.545,18 01 00.5602,4 33 32.8349,0.0009920358484879971,0.030235622359595715,7.019999980926514,12.434,-19.565,,6.987199783325195,,,,,True
V* AB Aur,04 55 45.8459,+30 33 04.293,HD 31293,A0Ve,Ae*,Herbig Ae/Be star,Ae*,04 55 45.8480,+30 33 04.276,30 33 04.2933,4 55 45.846,0.0012932368683324837,0.031111710244811006,7.050000190734863,3.926,-24.112,6.960000038146973,7.078499794006348,5.935999870300293,5.061999797821045,4.230000019073486,6.699999809265137,True
HD  30378,04 48 22.7433,+29 46 22.819,HD 30378,B9.5V,Star,Star,*,04 48 22.7454,+29 46 22.802,29 46 22.819,4 48 22.7434,0.000999967425188156,0.031355631709373374,7.420000076293945,5.755,-25.13,7.450000076293946,7.381899833679199,7.230000019073486,7.263000011444092,7.289999961853027,,True
HD  31305,04 55 48.2337,+30 20 16.467,HD 31305,A0,Star,Star,*,04 55 48.2357,+30 20 16.450,30 20 16.467,4 55 48.2337,0.0002204508491608353,0.03081230026093914,7.599999904632568,5.627,-23.617,7.609999904632568,7.58459997177124,7.1519999504089355,7.01800012588501,6.927000045776367,,True
HD  31648,04 58 46.2654,+29 50 36.990,HD 31648,A5Vep,Ae*,Herbig Ae/Be star,Ae*,04 58 46.2674,+29 50 36.973,29 50 36.9903,4 58 46.2654,0.00041095242932455374,0.031092592952089874,7.619999885559082,4.793,-25.348,7.760000228881836,7.651199817657471,6.864999771118164,6.260000228881836,5.5269999504089355,7.429999828338623,True
V* V856 Sco,16 08 34.2868,-39 06 18.326,HD 144668,A7IIIne_sh,Ae*,Herbig Ae/Be star,Ae*,16 08 34.2893,-39 06 18.312,-39 06 18.3261,16 08 34.2869,0.000681753614733968,0.03170406650940621,7.050000190734863,-8.95,-23.007,6.920000076293945,7.872000217437744,5.9070000648498535,5.21999979019165,4.386000156402588,,True
HD 283572,04 21 58.8482,+28 18 06.511,HD 283572,G5IVe,Orion_V*,Variable Star of Orion Type,Or*,04 21 58.8504,+28 18 06.497,28 18 06.5119,4 21 58.8483,0.0014408410829584793,0.03169427840948494,9.029999732971191,8.863,-26.364,9.140000343322754,8.795599937438965,7.414000034332275,7.007999897003174,6.86899995803833,,True
HD  30171,04 45 51.2962,+15 55 49.633,HD 30171,G5,TTau*,T Tau-type Star,TT*,04 45 51.2980,+15 55 49.617,15 55 49.6332,4 45 51.2963,0.0009359193661922904,0.02983967128374738,9.359999656677246,9.824,-24.288,8.889999656677245,9.18809986114502,7.849999904632568,7.460000038146973,7.335999965667725,8.439000129699707,True
